item_name	select_item	view_item	add_to_cart	purchase
Google Blue YoYo	1	1	0	0
Google 5K Run 2020 Unisex Tee	1	0	0	0
Google Boulder Campus Tote	1	0	0	0
Google PNW Campus Ladies Tee	1	0	0	0
Google Austin Campus Lapel Pin	1	0	0	0
Mommy Works at Google Book	1	0	0	0
Google Chicago Campus Lapel Pin	1	0	0	0
Android Puzzlebot v2	1	0	0	0
Google Kirkland Campus Lapel Pin	1	0	0	0
Google LA Campus Tote	1	0	0	0
